pitches	rating
48,64,67	1.667
52,67,72	2.889
55,72,76	2.741
55,74,77	2.481
50,65,79	4.444
53,67,74	3.63
55,71,77	2.63
59,65,79	3.556
53,67,71	4
50,65,72	2.926
53,60,74	3.333
48,74,77	4.296
45,60,64	2.407
48,64,69	3.593
52,69,72	3.481
53,60,67	3.148
48,55,65	2.852
55,65,72	3.111
48,67,71	3.37
55,59,72	3.296
59,60,67	4.741
48,64,71	2.63
52,59,72	3.704
59,60,64	3.963
47,62,65	3.889
50,65,71	3.519
53,71,74	3.667
48,71,74	3.963
50,59,72	4.148
59,60,62	5.185
47,65,69	5.148
53,57,71	3.444
57,71,77	5.296
48,65,71	3.926
53,59,72	3.704
59,60,65	4.519
50,64,67	3.481
52,62,79	3.333
55,64,74	3.222
45,60,71	3.63
59,60,69	5.185
45,59,72	4
53,64,71	4.815
64,65,71	5.296
59,64,77	5.333
48,64,68	5.259
48,63,71	5.593
51,59,72	5.815
59,60,63	4.148
48,68,71	5.63
56,59,72	4.259
59,60,68	5.296
48,62,73	5.593
49,60,74	5.852
50,61,72	6.667
43,53,59,62	2.54
48,59,64,67	2.08
48,62,64,67	2
48,62,64,71	2.03
52,60,62,71	3.59
48,59,62,67	2.38
43,53,57,59	3.38
48,57,64,67	2.46
45,55,60,64	2.46
48,57,62,67	2.41
45,55,60,62	3.16
48,62,64,69	2.81
50,60,64,69	3.22
48,59,64,69	2.92
45,59,60,64	3.11
48,59,62,69	2.95
50,59,60,69	4.54
43,53,59,64	3.35
48,57,59,67	3.54
45,55,59,60	3.19
43,53,59,60	3.49
50,59,65,69	3.43
47,57,62,65	3.14
53,59,69,72	4.83
47,57,60,65	4.76
53,57,64,71	4.78
53,59,64,72	4.84
50,60,65,71	4.49
50,53,64,71	4.81
45,56,60,64	5.08
48,59,64,68	4.54
50,60,64,68	4.73
52,62,68,72	4.73
44,53,59,62	3.65
53,57,68,72	4.78
53,64,68,74	5.22
52,62,65,68	4.57
50,57,65,68	4.86
47,56,65,69	5.46
53,57,64,68	4.92
45,60,68,71	4.73
50,57,60,68	4.81
53,56,64,71	5.38
53,57,63,68	4.84
53,57,63,71	4.97
51,57,62,68	5.57
53,63,64,74	5.95
43,53,63,64	6.43
