pitches	rating
38,51,57,60,67	4.2
42,50,54,57,62,70,72	4.74545454545455
57,59,62,64,67	5.57894736842105
49,57,64,69	6.07547169811321
57,69,72,76,77	5.32727272727273
50,60,66,70	4.77586206896552
55,60,63,67,72,75	6.10526315789474
55,69,72,78	3.68421052631579
48,60,67,70,72,76	6.35185185185185
48,60,66,69,75	4.80701754385965
50,62,67,69,76	5.69811320754717
43,55,61,70,76	4.49056603773585
52,64,69,71	5.64912280701754
49,61,63,67,70,75,79,82	5.42857142857143
47,59,64,67,71,76,79,83	5.98181818181818
46,49,53,77,82,85,89	5.89655172413793
45,48,54,57,72,78,81,84	4.57894736842105
45,50,53,57,79	5.05357142857143
55,69,72,82	3.46428571428571
55,66,69,75	3.40740740740741
32,43,70,76,81	3.52830188679245
29,35,36,66,69,70,78	2.92982456140351
43,46,51,55,57,70,80	3.90740740740741
62,70,73,78,83	3.98148148148148
37,42,46,48,71,72,77,80	2.65384615384615
51,52,65,69,73,78	2.49056603773585
58,64,65,75,78	3.09803921568627
68,74,75,76,79,80,86,88	2.96296296296296
31,51,60,71,76	3.22222222222222
59,62,64,65,70,74,75	3.32727272727273
56,60,61,64,65,69	3.16666666666667
65,67,72,73,78,80	2.84615384615385
28,43,58,73	3.63157894736842
75,82,88,93,96	2.89473684210526
53,58,64,75,85	3.36
38,45,49,53,61	4.32142857142857
46,52,57,60,71	3.34545454545455
44,48,52,67,78	3.59259259259259
38,48,75,82,85	3.59649122807018
57,62,67,71,75,82	3.96153846153846
44,60,67,81,82	4.56896551724138
58,63,70,76,83	3.48148148148148
47,51,56,71,79	4.7962962962963
41,43,57,58,66	3.60377358490566
48,51,62,67,73	3.47368421052632
41,45,59,81,82	3.15384615384615
44,45,51,71,77	3.03703703703704
47,62,71,73,82	4.8421052631579
60,63,69,73,83	3.73469387755102
47,50,60,65,70	3.72413793103448
45,53,60,78,82	4.01818181818182
47,49,64,66,74	3.43396226415094
42,52,57,63,79	3.37735849056604
41,50,59,60,67	4.66071428571429
45,58,67,69,77	3.49090909090909
47,67,76,77,81	3.47272727272727
44,53,57,68,82	3.83333333333333
48,62,70,75,81	4.23636363636364
58,62,66,70,73	4.05263157894737
51,64,67,71,77	3.35849056603774
47,52,55,79,83	5.28070175438597
48,52,58,61,64,65,67	4.6140350877193
44,54,64,74	3.19607843137255
50,66,72,78,82,86	5.15094339622642
55,65,71,75,80	4.10204081632653
55,65,71,76,79,83	4.64285714285714
64,68,70,72,76,80,84,88	3.90909090909091
55,59,60,64	5.60344827586207
36,50,56,60,63,66,70	3.90909090909091
39,47,54,75,78,82,83,87	5.25423728813559
48,56,63,70,77,82	5.16363636363636
50,59,65,68,71,74,77	4.92452830188679
60,62,63,67,70,72,79	5.05660377358491
45,52,56,59,61,64	6.23214285714286
36,43,57,62,67,69	5.64285714285714
36,43,55,59,64	6.45614035087719
50,52,53,57,61	3.43859649122807
52,57,60,67,69,72,76,79	5.81132075471698
56,57,61,64,73	5.82142857142857
46,56,59,71,74,76,79	3.58928571428571
